pp,resources,stage,fading,mean_trees_per_stage
1,clumped,early,fade,27.6
1,clumped,late,fade,27.6
1,random,early,fade,27.1
1,random,late,fade,27.4
2,clumped,early,fade,16.2
2,clumped,late,fade,15.5
2,random,early,fade,28.555555555555557
2,random,late,fade,27.2
3,clumped,early,no_fade,16.7
3,clumped,late,no_fade,16.8
3,random,early,no_fade,29.8
3,random,late,no_fade,28.5
4,clumped,early,no_fade,19.666666666666668
4,clumped,late,no_fade,16.9
4,random,early,no_fade,27.5
4,random,late,no_fade,27.7
5,clumped,early,fade,26.6
5,clumped,late,fade,24.666666666666668
5,random,early,fade,26.857142857142858
5,random,late,fade,27.5
6,clumped,early,fade,30.22222222222222
6,clumped,late,fade,31.1
6,random,early,fade,30.25
6,random,late,fade,31.2
7,clumped,early,no_fade,26.9
7,clumped,late,no_fade,17.5
7,random,early,no_fade,28.5
7,random,late,no_fade,29.2
8,clumped,early,no_fade,25.666666666666668
8,clumped,late,no_fade,17.3
8,random,early,no_fade,28.8
8,random,late,no_fade,28.8
9,clumped,early,fade,16.2
9,clumped,late,fade,16
9,random,early,fade,28.2
9,random,late,fade,28.3
10,clumped,early,fade,23
10,clumped,late,fade,25.2
10,random,early,fade,28.333333333333332
10,random,late,fade,27.6
11,clumped,early,no_fade,30.7
11,clumped,late,no_fade,26.88888888888889
11,random,early,no_fade,32
11,random,late,no_fade,32.888888888888886
12,clumped,early,no_fade,23.88888888888889
12,clumped,late,no_fade,20.22222222222222
12,random,early,no_fade,30.857142857142858
12,random,late,no_fade,32.57142857142857
13,clumped,early,fade,24.6
13,clumped,late,fade,20.3
13,random,early,fade,27
13,random,late,fade,28.3
14,clumped,early,fade,16.333333333333332
14,clumped,late,fade,16.6
14,random,early,fade,26.8
14,random,late,fade,28.9
15,clumped,early,no_fade,18.1
15,clumped,late,no_fade,15.6
15,random,early,no_fade,29.7
15,random,late,no_fade,28.9
16,clumped,early,no_fade,18.7
16,clumped,late,no_fade,17.333333333333332
16,random,early,no_fade,28.25
16,random,late,no_fade,30.142857142857142
17,clumped,early,fade,19.2
17,clumped,late,fade,16.7
17,random,early,fade,28.1
17,random,late,fade,27.8
18,clumped,early,fade,24.3
18,clumped,late,fade,20.875
18,random,early,fade,29
18,random,late,fade,28.4
19,clumped,early,no_fade,26.9
19,clumped,late,no_fade,23.6
19,random,early,no_fade,30.4
19,random,late,no_fade,29.5
20,clumped,early,no_fade,33.2
20,clumped,late,no_fade,32.9
20,random,early,no_fade,30.6
20,random,late,no_fade,31.2
21,clumped,early,no_fade,32.1
21,clumped,late,no_fade,25.1
21,random,early,no_fade,36.5
21,random,late,no_fade,32.8
22,clumped,early,fade,26
22,clumped,late,fade,27.8
22,random,early,fade,27.4
22,random,late,fade,28.9
23,clumped,early,fade,29.6
23,clumped,late,fade,24.8
23,random,early,fade,28.2
23,random,late,fade,26.4
24,clumped,early,fade,29
24,clumped,late,fade,28.3
24,random,early,fade,26.8
24,random,late,fade,29.1
25,clumped,early,no_fade,25.6
25,clumped,late,no_fade,22.8
25,random,early,no_fade,29.3
25,random,late,no_fade,30.3
26,clumped,early,no_fade,28.7
26,clumped,late,no_fade,28.1
26,random,early,no_fade,28.77777777777778
26,random,late,no_fade,30.2
27,clumped,early,fade,17.2
27,clumped,late,fade,14.9
27,random,early,fade,28.4
27,random,late,fade,27.9
28,clumped,early,no_fade,16.8
28,clumped,late,no_fade,15
28,random,early,no_fade,28.3
28,random,late,no_fade,27.6
29,clumped,early,no_fade,23.4
29,clumped,late,no_fade,21.1
29,random,early,no_fade,29.7
29,random,late,no_fade,28
30,clumped,early,fade,25.3
30,clumped,late,fade,23.8
30,random,early,fade,27.8
30,random,late,fade,28.2
31,clumped,early,fade,27.5
31,clumped,late,fade,25.2
31,random,early,fade,27.9
31,random,late,fade,28.9
32,clumped,early,no_fade,25.5
32,clumped,late,no_fade,26.1
32,random,early,no_fade,30.1
32,random,late,no_fade,28.4
33,clumped,early,no_fade,31.4
33,clumped,late,no_fade,27.5
33,random,early,no_fade,29.3
33,random,late,no_fade,29.5
34,clumped,early,fade,26.3
34,clumped,late,fade,26.6
34,random,early,fade,27.5
34,random,late,fade,27.4
35,clumped,early,fade,25.2
35,clumped,late,fade,27.2
35,random,early,fade,27.7
35,random,late,fade,27.6
36,clumped,early,no_fade,22.3
36,clumped,late,no_fade,16.7
36,random,early,no_fade,28.4
36,random,late,no_fade,28.2
37,clumped,early,no_fade,17.9
37,clumped,late,no_fade,17
37,random,early,no_fade,28.9
37,random,late,no_fade,29
38,clumped,early,fade,25.6
38,clumped,late,fade,27.6
38,random,early,fade,29
38,random,late,fade,28.3
39,clumped,early,fade,26.9
39,clumped,late,fade,26.9
39,random,early,fade,27.5
39,random,late,fade,27.6
40,clumped,early,fade,21
40,clumped,late,fade,17.5
40,random,early,fade,27.88888888888889
40,random,late,fade,27.7
41,clumped,early,fade,18.2
41,clumped,late,fade,16.444444444444443
41,random,early,fade,27.7
41,random,late,fade,27.3
42,clumped,early,no_fade,20.1
42,clumped,late,no_fade,15.4
42,random,early,no_fade,29.8
42,random,late,no_fade,29.7
